"","Year","Stratum","Route"
"1",2005,"US-CT-30","18-116"
"2",2011,"US-CT-30","18-116"
"3",2012,"US-CT-30","18-116"
"4",2002,"US-CT-30","18-12"
"5",2003,"US-CT-30","18-12"
"6",2004,"US-CT-30","18-12"
"7",2005,"US-CT-30","18-12"
"8",2006,"US-CT-30","18-12"
"9",2007,"US-CT-30","18-12"
"10",2008,"US-CT-30","18-12"
"11",2009,"US-CT-30","18-12"
"12",2010,"US-CT-30","18-9"
"13",2011,"US-CT-30","18-9"
"14",2012,"US-CT-30","18-9"
"15",2002,"US-CT-30","18-9"
"16",2003,"US-CT-30","18-9"
"17",2004,"US-CT-30","18-9"
"18",2005,"US-CT-30","18-9"
"19",2006,"US-CT-30","18-9"
"20",2007,"US-CT-30","18-9"
"21",2008,"US-CT-30","18-9"
"22",2009,"US-CT-30","18-9"
"23",2009,"CA-AB-6","4-153"
"24",2010,"CA-AB-6","4-153"
"25",2012,"CA-AB-6","4-153"
"26",2002,"CA-AB-6","4-251"
"27",2003,"CA-AB-6","4-251"
"28",2004,"CA-AB-6","4-251"
"29",2006,"CA-AB-6","4-251"
"30",2007,"CA-AB-6","4-251"
"31",2008,"CA-AB-6","4-251"
"32",2009,"CA-AB-6","4-251"
"33",2010,"CA-AB-6","4-251"
"34",2011,"CA-AB-6","4-251"
"35",2012,"CA-AB-6","4-251"
"36",2004,"CA-AB-6","4-338"
"37",2005,"CA-AB-6","4-338"
"38",2007,"CA-AB-6","4-338"
"39",2008,"CA-AB-6","4-338"
"40",2009,"CA-AB-6","4-338"
"41",2010,"CA-AB-6","4-338"
"42",2007,"CA-AB-6","4-42"
"43",2008,"CA-AB-6","4-42"
"44",2010,"CA-AB-6","4-42"
"45",2011,"CA-AB-6","4-42"
"46",2002,"CA-AB-6","4-43"
"47",2003,"CA-AB-6","4-43"
"48",2009,"CA-AB-6","4-43"
"49",2010,"CA-AB-6","4-43"
"50",2012,"CA-AB-6","4-43"
"51",2004,"CA-AB-6","4-438"
"52",2005,"CA-AB-6","4-438"
"53",2006,"CA-AB-6","4-438"
"54",2008,"CA-AB-6","4-438"
"55",2009,"CA-AB-6","4-438"
